date,equity
2018-01-01,1.0
2018-01-02,1.0
2018-01-03,1.0
2018-01-04,1.0
2018-01-05,1.0
2018-01-08,1.0
2018-01-09,1.0
2018-01-10,1.0
2018-01-11,1.0
2018-01-12,1.0
2018-01-15,1.0
2018-01-16,1.0
2018-01-17,1.0
2018-01-18,1.0
2018-01-19,1.0
2018-01-22,1.0
2018-01-23,1.0
2018-01-24,1.0
2018-01-25,1.0
2018-01-29,0.9973253573133514
2018-01-30,1.0130688832197585
2018-01-31,1.0271292832308099
2018-02-01,1.0356744302040861
2018-02-02,1.0455901070958387
2018-02-05,1.0721815878707082
2018-02-06,1.1175640692165125
2018-02-07,1.1562638679383501
2018-02-08,1.1852086370537542
2018-02-09,1.2418909682929467
2018-02-12,1.2655113209387099
2018-02-14,1.2951368807815538
2018-02-15,1.3255261501932007
2018-02-16,1.3493213385150677
2018-02-19,1.3612959284355495
2018-02-20,1.3713022060508155
2018-02-21,1.382318418130589
2018-02-22,1.4066555081162841
2018-02-23,1.4253949323910515
2018-02-26,1.4500780378548133
2018-02-27,1.4742622661532692
2018-02-28,1.5074766181851542
2018-03-01,1.5356029307344814
2018-03-05,1.5375722979010373
2018-03-06,1.5698171775326688
2018-03-07,1.62687415403956
2018-03-08,1.6596768511612976
2018-03-09,1.6932705589740902
2018-03-12,1.7122845459107199
2018-03-13,1.7148097317127187
2018-03-14,1.7522450271064125
2018-03-15,1.8130233096990749
2018-03-16,1.9108997939006953
2018-03-19,1.989952498835339
2018-03-20,2.126565765351245
2018-03-21,2.2230342178964286
2018-03-22,2.3423411580499347
2018-03-23,2.5454315246928516
2018-03-26,2.7393381010117697
2018-03-27,2.919573839443408
2018-03-28,3.0961449249031694
2018-04-02,3.315251251969743
2018-04-03,3.5533025483959317
2018-04-04,3.76689101800031
2018-04-05,4.039900384263613
2018-04-06,4.272940240222551
2018-04-09,4.559155150284955
2018-04-10,4.706116842923898
2018-04-11,4.944675377170693
2018-04-12,5.248993324947218
2018-04-13,5.539424958984818
2018-04-16,5.803267349878819
2018-04-17,6.076122544443013
2018-04-18,6.283836063209104
2018-04-19,6.424179348264206
2018-04-20,6.5256448330377435
2018-04-23,6.695902103018088
2018-04-24,6.900472975146433
