year,CAGR,Sharpe,maxDD,win_rate,trade_count,avg_return
2018,0.16794928952654198,1.0183501543367668,0.0,1.0,12,0.16220714964006616
2019,0.27964650868809193,2.024732445035587,0.0,0.8666666666666667,60,0.049236010039064505
2020,0.5108555799199856,2.075143504937859,-0.10243268613833323,0.6726190476190477,168,0.03064107066574829
2021,0.40319830957673597,2.0033036460539106,-0.0503791899290178,0.575,120,0.017183499525171883
