regime_type,regime_subtype,trade_count,win_rate,avg_return,total_return
bull,all,360,0.6833333333333333,0.033639906146919446,62273.46650466704
volatility,low_vol,108,0.7870370370370371,0.04535407517557005,92.28806824806858
volatility,mid_vol,72,0.7222222222222222,0.03491243351181507,10.000122625896736
volatility,high_vol,180,0.6055555555555555,0.026102393783770852,59.68570324747826
bull_low_vol,bull_low_vol,108,0.7870370370370371,0.04535407517557005,92.28806824806858
bull_mid_vol,bull_mid_vol,72,0.7222222222222222,0.03491243351181507,10.000122625896736
bull_high_vol,bull_high_vol,180,0.6055555555555555,0.026102393783770852,59.68570324747826
