date,ticker,sector,proba,rank
2025-09-19,DRREDDY,Healthcare,0.840301958083268,94.0
2025-09-25,APOLLOHOSP_S92,Healthcare,0.8391196582182383,95.0
2025-09-16,ICICIBANK_S4,Financials,0.8387615839398503,96.0
2025-09-24,DRREDDY,Healthcare,0.831056451090763,97.0
2025-09-05,ULTRACEMCO,Materials,0.8310344278966318,98.0
2025-09-24,APOLLOHOSP_S92,Healthcare,0.8304206387161239,99.0
2025-09-08,ONGC,Energy,0.8299408414274635,100.0
2025-09-15,ICICIPRULI_S102,Financials,0.829437766436272,101.0
2025-09-24,ULTRACEMCO_S15,Materials,0.8278653680073774,102.0
2025-09-05,DRREDDY,Healthcare,0.8266959815434924,103.0
2025-10-16,NMDC,Materials,0.8264229302713888,104.0
2025-09-17,ITC,Consumer Staples,0.8240616396972846,105.0
2025-09-10,HCLTECH_S133,IT,0.823730312471496,106.0
2025-09-26,ICICIGI_S113,Financials,0.823573837496958,107.0
2025-09-16,NTPC_S135,Utilities,0.8231908138743464,108.0
2025-09-08,KOTAKBANK_S74,Financials,0.8212446214707881,109.0
2025-09-08,ITC_S65,Consumer Staples,0.8204956762386537,110.0
2025-09-08,TATASTEEL_S137,Materials,0.820119166940755,111.0
2025-09-26,WIPRO,IT,0.8192538068612529,112.0
2025-09-22,RELIANCE_S114,Energy,0.8150956408011371,113.0
2025-09-04,MARUTI_S126,Consumer Discretionary,0.8149637060218539,114.0
2025-09-17,NESTLEIND_S87,Consumer Staples,0.8143816594605497,115.0
2025-09-19,ONGC_S136,Energy,0.8122365126972733,116.0
2025-09-17,MARUTI,Consumer Discretionary,0.812134804574559,117.0
2025-09-15,ICICIBANK_S4,Financials,0.8118276465397318,118.0
2025-09-09,SBILIFE_S44,Financials,0.8107533388612975,119.0
2025-09-09,BANDHANBNK_S50,Financials,0.8103023027676742,120.0
2025-09-09,MUTHOOTFIN,Financials,0.8091262759517278,121.0
2025-09-16,RELIANCE_S0,Energy,0.8081098428250052,122.0
2025-09-16,INDUSINDBK_S40,Financials,0.8068345599737298,123.0
2025-09-04,ULTRACEMCO_S15,Materials,0.8065988272376973,124.0
2025-09-09,ITC_S65,Consumer Staples,0.8044847276771799,125.0
2025-09-08,COALINDIA_S89,Energy,0.8001970634243928,126.0
2025-09-15,BHARTIARTL_S121,Telecom,0.7996622610802246,127.0
2025-09-26,WIPRO_S130,IT,0.7982101083927858,128.0
2025-09-15,LT_S9,Industrials,0.7960535730713695,129.0
2025-09-18,ULTRACEMCO_S15,Materials,0.7954322337897921,130.0
2025-09-08,ICICIPRULI_S102,Financials,0.7947997087320686,131.0
2025-09-17,ICICIGI,Financials,0.7927651986358154,132.0
2025-09-15,SUNPHARMA,Healthcare,0.7920533893333019,133.0
2025-09-02,AXISBANK,Financials,0.7898442472013086,134.0
2025-10-16,TATASTEEL_S23,Materials,0.7889325839535356,135.0
2025-09-09,ITC,Consumer Staples,0.7872486563178521,136.0
2025-09-09,HINDUNILVR_S62,Consumer Staples,0.7857783583102548,137.0
2025-09-26,ULTRACEMCO,Materials,0.7855940092884555,138.0
2025-09-17,BANDHANBNK_S50,Financials,0.7852649683675255,139.0
2025-09-17,ICICIBANK_S4,Financials,0.7846842510690275,140.0
2025-09-18,ICICIBANK_S4,Financials,0.7839673361735879,141.0
2025-09-11,MARUTI_S12,Consumer Discretionary,0.7827887781139519,142.0
2025-09-25,ICICIPRULI_S102,Financials,0.7826889515669893,143.0
2025-10-15,NMDC,Materials,0.7818759115434152,144.0
2025-09-09,ONGC,Energy,0.7802785625690842,145.0
2025-09-26,TATASTEEL,Materials,0.7799414856198653,146.0
2025-10-03,TATASTEEL_S23,Materials,0.7798297084313734,147.0
2025-09-10,SUNPHARMA,Healthcare,0.7781303006623109,148.0
2025-09-17,ASIANPAINT_S10,Materials,0.7770713952632633,149.0
2025-09-12,AXISBANK_S125,Financials,0.7746402372949374,150.0
2025-09-19,BHARTIARTL,Telecom,0.774273726485193,151.0
2025-09-08,AXISBANK_S125,Financials,0.773756112764005,152.0
2025-09-22,NESTLEIND,Consumer Staples,0.7702627218092248,153.0
2025-09-05,INFY,IT,0.7691413323530956,154.0
2025-09-09,HAVELLS_S48,Industrials,0.7689921794352622,155.0
2025-09-25,BAJAJFINSV_S26,Financials,0.7677597015154664,156.0
2025-09-08,HDFCBANK,Financials,0.7659871402387335,157.0
2025-10-24,ADANIGREEN_S51,Utilities,0.7642855823002788,158.0
2025-09-04,ONGC_S136,Energy,0.7640123434557059,159.0
2025-10-15,TATASTEEL_S23,Materials,0.7635868313598763,160.0
2025-09-19,ADANITRANS,Utilities,0.7635724787929439,161.0
2025-09-26,BAJAJFINSV_S26,Financials,0.7626031677831389,162.0
2025-09-23,RELIANCE_S114,Energy,0.7593902173100443,163.0
2025-09-11,SBIN_S120,Financials,0.7589304166286791,164.0
2025-09-05,AXISBANK_S11,Financials,0.7589296157874206,165.0
2025-09-22,HCLTECH_S19,IT,0.7572391526954163,166.0
2025-09-16,NTPC_S78,Utilities,0.757010574438528,167.0
2025-09-19,INDUSINDBK,Financials,0.7551043666855642,168.0
2025-09-16,NESTLEIND_S87,Consumer Staples,0.7526230016863097,169.0
2025-09-23,ASIANPAINT_S124,Materials,0.7524028061059107,170.0
2025-09-04,HCLTECH_S133,IT,0.7523492512488544,171.0
2025-09-23,ONGC_S79,Energy,0.7484804291658069,172.0
2025-09-15,BANDHANBNK_S50,Financials,0.7473089461237887,173.0
2025-09-10,HINDUNILVR_S62,Consumer Staples,0.7466320402835306,174.0
2025-09-19,ICICIGI,Financials,0.7449133666840373,175.0
