fold_idx,train_start,train_end,valid_start,valid_end,test_start,test_end,train_samples,valid_samples,test_samples,train_roc_auc,train_ic,train_rank_ic,valid_roc_auc,valid_ic,valid_rank_ic,test_roc_auc,test_ic,test_rank_ic
1,2018-01-01T00:00:00,2019-01-10T00:00:00,2019-01-30T00:00:00,2019-03-31T00:00:00,2019-04-20T00:00:00,2019-06-19T00:00:00,23709,3936,3783,,,,0.5077445834470699,0.03824146253392338,0.0016466647400087497,0.498984946286741,0.03933120864378992,0.0113902090394291
2,2018-01-01T00:00:00,2019-04-10T00:00:00,2019-04-30T00:00:00,2019-06-29T00:00:00,2019-07-19T00:00:00,2019-09-17T00:00:00,29658,4074,3686,,,,0.5346112992765096,0.07526911576276848,0.07326996793018321,0.522546293267536,-0.0009776023692243218,0.01895271678743142
3,2018-01-01T00:00:00,2019-07-09T00:00:00,2019-07-29T00:00:00,2019-09-27T00:00:00,2019-10-17T00:00:00,2019-12-16T00:00:00,35378,3880,3783,,,,0.4995733464886007,-0.050187371894385505,-0.027993149733896702,0.4765597688573443,-0.06876287565020343,-0.027779651059921858
4,2018-01-01T00:00:00,2019-10-07T00:00:00,2019-10-27T00:00:00,2019-12-26T00:00:00,2020-01-15T00:00:00,2020-03-15T00:00:00,41101,3880,3988,,,,0.4740351483488001,-0.07583545154783809,-0.017112025856924187,0.49393337779840674,-0.0026394575459701515,-0.005234637431693138
5,2018-01-01T00:00:00,2020-01-05T00:00:00,2020-01-25T00:00:00,2020-03-25T00:00:00,2020-04-14T00:00:00,2020-06-13T00:00:00,46824,3905,4059,,,,0.4844311274296478,-0.044079958923529255,-0.04204021139802938,0.5733103496534171,0.1256752425266915,0.12458633508294972
6,2018-01-01T00:00:00,2020-04-04T00:00:00,2020-04-24T00:00:00,2020-06-23T00:00:00,2020-07-13T00:00:00,2020-09-11T00:00:00,52877,3960,4257,,,,0.5785626007679219,0.13335142349075732,0.13570684110333212,0.4699511357910648,-0.06624065277717381,-0.0830056390299245
7,2018-01-01T00:00:00,2020-07-03T00:00:00,2020-07-23T00:00:00,2020-09-21T00:00:00,2020-10-11T00:00:00,2020-12-10T00:00:00,58817,4158,4072,,,,0.4385194033714542,-0.021086749532668727,-0.13560110895925662,0.4646421259908404,-0.046351376243707505,-0.060093675928974515
8,2018-01-01T00:00:00,2020-10-01T00:00:00,2020-10-21T00:00:00,2020-12-20T00:00:00,2021-01-09T00:00:00,2021-03-10T00:00:00,65054,4079,4100,,,,0.4618052071404263,-0.057993008775180224,-0.06607803125394446,0.5022024055184642,0.010944607558148774,0.03823759807278118
