date_in,date_out,ticker,entry_px,exit_px,gross_ret,net_ret
2017-05-29,2017-06-12,TECHM,380.8957167535401,395.78627483947747,0.03909352988490644,0.03909352988490644
2017-05-29,2017-06-12,TITAN,472.44317037323003,513.8347898394776,0.08761184849713932,0.08761184849713932
2017-05-29,2017-06-12,DIVISLAB,571.669795,642.4429553210449,0.1238007691503884,0.1238007691503884
2017-05-29,2017-06-12,ADANIPORTS,329.04890574646,355.49040758026126,0.08035736138923699,0.08035736138923699
2017-05-29,2017-06-12,MUTHOOTFIN,392.48971000000006,447.73760766052254,0.14076266524419823,0.14076266524419823
2017-05-29,2017-06-12,RELIANCE,311.3462470858765,300.4549534539795,-0.03498129087418522,-0.03498129087418522
2017-05-29,2017-06-12,ICICIPRULI,396.3041757464599,421.1393225,0.06266688133366682,0.06266688133366682
2017-05-29,2017-06-12,BRITANNIA,1715.71200298584,1806.4161831079102,0.052866786479443206,0.052866786479443206
2017-05-29,2017-06-12,PIDILITIND,378.73750074645994,400.59290375,0.057705938705475246,0.057705938705475246
2017-05-29,2017-06-12,NTPC,130.91355927230836,131.12350875,0.001603725991857985,0.001603725991857985
2017-05-30,2017-06-13,TECHM,389.7794107464599,391.9011399197388,0.005443410079602806,0.005443410079602806
2017-05-30,2017-06-13,TITAN,471.5899257464599,518.5666923394775,0.09961359229347422,0.09961359229347422
2017-05-30,2017-06-13,DIVISLAB,590.2402800000001,643.0904423394776,0.08954008076080044,0.08954008076080044
2017-05-30,2017-06-13,ADANIPORTS,341.64673962677006,358.03067991973876,0.047955792907221184,0.047955792907221184
2017-05-30,2017-06-13,MUTHOOTFIN,396.55512824645996,462.9295051605225,0.16737742670877975,0.16737742670877975
2017-05-30,2017-06-13,RELIANCE,311.90840886901856,299.29362355895995,-0.04044387695669982,-0.04044387695669982
2017-05-30,2017-06-13,ICICIPRULI,403.13010212677005,427.26588491973877,0.059870951500860414,0.059870951500860414
2017-05-30,2017-06-13,BRITANNIA,1719.2504577429202,1806.1423281420898,0.05054055388372203,0.05054055388372203
2017-05-30,2017-06-13,PIDILITIND,384.40905175354015,405.49912733947747,0.054863628964332944,0.054863628964332944
