date,ticker,in_universe_flag
2017-01-02,ADANIPORTS,True
2017-01-02,APOLLOHOSP,True
2017-01-02,ASIANPAINT,True
2017-01-02,AXISBANK,True
2017-01-02,BAJAJ-AUTO,True
2017-01-02,BAJAJFINSV,True
2017-01-02,BAJFINANCE,True
2017-01-02,BHARTIARTL,True
2017-01-02,BRITANNIA,True
2017-01-02,COALINDIA,True
2017-01-02,DIVISLAB,True
2017-01-02,DLF,True
2017-01-02,DRREDDY,True
2017-01-02,EICHERMOT,True
2017-01-02,GODREJCP,True
2017-01-02,GRASIM,True
2017-01-02,HAVELLS,True
2017-01-02,HCLTECH,True
2017-01-02,HDFCBANK,True
2017-01-02,HEROMOTOCO,True
2017-01-02,HINDALCO,True
2017-01-02,HINDUNILVR,True
2017-01-02,ICICIBANK,True
2017-01-02,ICICIPRULI,True
2017-01-02,INDUSINDBK,True
2017-01-02,INFY,True
2017-01-02,ITC,True
2017-01-02,JSWSTEEL,True
2017-01-02,KOTAKBANK,True
2017-01-02,LT,True
2017-01-02,M&M,True
2017-01-02,MARUTI,True
2017-01-02,MUTHOOTFIN,True
2017-01-02,NESTLEIND,True
2017-01-02,NMDC,True
2017-01-02,NTPC,True
2017-01-02,ONGC,True
2017-01-02,PEL,True
2017-01-02,PIDILITIND,True
2017-01-02,POWERGRID,True
2017-01-02,RELIANCE,True
2017-01-02,SBIN,True
2017-01-02,SIEMENS,True
2017-01-02,SUNPHARMA,True
2017-01-02,TATASTEEL,True
2017-01-02,TCS,True
2017-01-02,TECHM,True
2017-01-02,TITAN,True
2017-01-02,ULTRACEMCO,True
2017-01-02,UPL,True
2017-01-02,VOLTAS,True
2017-01-02,WIPRO,True
2017-01-03,ADANIPORTS,True
2017-01-03,APOLLOHOSP,True
2017-01-03,ASIANPAINT,True
2017-01-03,AXISBANK,True
2017-01-03,BAJAJ-AUTO,True
2017-01-03,BAJAJFINSV,True
2017-01-03,BAJFINANCE,True
2017-01-03,BHARTIARTL,True
2017-01-03,BRITANNIA,True
2017-01-03,COALINDIA,True
2017-01-03,DIVISLAB,True
2017-01-03,DLF,True
2017-01-03,DRREDDY,True
2017-01-03,EICHERMOT,True
2017-01-03,GODREJCP,True
2017-01-03,GRASIM,True
2017-01-03,HAVELLS,True
2017-01-03,HCLTECH,True
2017-01-03,HDFCBANK,True
2017-01-03,HEROMOTOCO,True
2017-01-03,HINDALCO,True
2017-01-03,HINDUNILVR,True
2017-01-03,ICICIBANK,True
2017-01-03,ICICIPRULI,True
2017-01-03,INDUSINDBK,True
2017-01-03,INFY,True
2017-01-03,ITC,True
2017-01-03,JSWSTEEL,True
2017-01-03,KOTAKBANK,True
2017-01-03,LT,True
2017-01-03,M&M,True
2017-01-03,MARUTI,True
2017-01-03,MUTHOOTFIN,True
2017-01-03,NESTLEIND,True
2017-01-03,NMDC,True
2017-01-03,NTPC,True
2017-01-03,ONGC,True
2017-01-03,PEL,True
2017-01-03,PIDILITIND,True
2017-01-03,POWERGRID,True
2017-01-03,RELIANCE,True
2017-01-03,SBIN,True
2017-01-03,SIEMENS,True
2017-01-03,SUNPHARMA,True
2017-01-03,TATASTEEL,True
2017-01-03,TCS,True
2017-01-03,TECHM,True
2017-01-03,TITAN,True
2017-01-03,ULTRACEMCO,True
2017-01-03,UPL,True
2017-01-03,VOLTAS,True
2017-01-03,WIPRO,True
2017-01-04,ADANIPORTS,True
2017-01-04,APOLLOHOSP,True
2017-01-04,ASIANPAINT,True
2017-01-04,AXISBANK,True
2017-01-04,BAJAJ-AUTO,True
2017-01-04,BAJAJFINSV,True
2017-01-04,BAJFINANCE,True
2017-01-04,BHARTIARTL,True
2017-01-04,BRITANNIA,True
2017-01-04,COALINDIA,True
2017-01-04,DIVISLAB,True
2017-01-04,DLF,True
2017-01-04,DRREDDY,True
2017-01-04,EICHERMOT,True
2017-01-04,GODREJCP,True
2017-01-04,GRASIM,True
2017-01-04,HAVELLS,True
2017-01-04,HCLTECH,True
2017-01-04,HDFCBANK,True
2017-01-04,HEROMOTOCO,True
2017-01-04,HINDALCO,True
2017-01-04,HINDUNILVR,True
2017-01-04,ICICIBANK,True
2017-01-04,ICICIPRULI,True
2017-01-04,INDUSINDBK,True
2017-01-04,INFY,True
2017-01-04,ITC,True
2017-01-04,JSWSTEEL,True
2017-01-04,KOTAKBANK,True
2017-01-04,LT,True
2017-01-04,M&M,True
2017-01-04,MARUTI,True
2017-01-04,MUTHOOTFIN,True
2017-01-04,NESTLEIND,True
2017-01-04,NMDC,True
2017-01-04,NTPC,True
2017-01-04,ONGC,True
2017-01-04,PEL,True
2017-01-04,PIDILITIND,True
2017-01-04,POWERGRID,True
2017-01-04,RELIANCE,True
2017-01-04,SBIN,True
2017-01-04,SIEMENS,True
2017-01-04,SUNPHARMA,True
2017-01-04,TATASTEEL,True
2017-01-04,TCS,True
2017-01-04,TECHM,True
2017-01-04,TITAN,True
2017-01-04,ULTRACEMCO,True
2017-01-04,UPL,True
2017-01-04,VOLTAS,True
2017-01-04,WIPRO,True
2017-01-05,ADANIPORTS,True
2017-01-05,APOLLOHOSP,True
2017-01-05,ASIANPAINT,True
2017-01-05,AXISBANK,True
2017-01-05,BAJAJ-AUTO,True
2017-01-05,BAJAJFINSV,True
2017-01-05,BAJFINANCE,True
2017-01-05,BHARTIARTL,True
2017-01-05,BRITANNIA,True
2017-01-05,COALINDIA,True
2017-01-05,DIVISLAB,True
2017-01-05,DLF,True
2017-01-05,DRREDDY,True
2017-01-05,EICHERMOT,True
2017-01-05,GODREJCP,True
2017-01-05,GRASIM,True
2017-01-05,HAVELLS,True
2017-01-05,HCLTECH,True
2017-01-05,HDFCBANK,True
2017-01-05,HEROMOTOCO,True
2017-01-05,HINDALCO,True
2017-01-05,HINDUNILVR,True
2017-01-05,ICICIBANK,True
2017-01-05,ICICIPRULI,True
2017-01-05,INDUSINDBK,True
2017-01-05,INFY,True
2017-01-05,ITC,True
2017-01-05,JSWSTEEL,True
2017-01-05,KOTAKBANK,True
2017-01-05,LT,True
2017-01-05,M&M,True
2017-01-05,MARUTI,True
2017-01-05,MUTHOOTFIN,True
2017-01-05,NESTLEIND,True
2017-01-05,NMDC,True
2017-01-05,NTPC,True
2017-01-05,ONGC,True
2017-01-05,PEL,True
2017-01-05,PIDILITIND,True
2017-01-05,POWERGRID,True
2017-01-05,RELIANCE,True
2017-01-05,SBIN,True
2017-01-05,SIEMENS,True
2017-01-05,SUNPHARMA,True
2017-01-05,TATASTEEL,True
2017-01-05,TCS,True
2017-01-05,TECHM,True
2017-01-05,TITAN,True
2017-01-05,ULTRACEMCO,True
2017-01-05,UPL,True
2017-01-05,VOLTAS,True
2017-01-05,WIPRO,True
2017-01-06,ADANIPORTS,True
2017-01-06,APOLLOHOSP,True
2017-01-06,ASIANPAINT,True
2017-01-06,AXISBANK,True
2017-01-06,BAJAJ-AUTO,True
2017-01-06,BAJAJFINSV,True
2017-01-06,BAJFINANCE,True
2017-01-06,BHARTIARTL,True
2017-01-06,BRITANNIA,True
2017-01-06,COALINDIA,True
2017-01-06,DIVISLAB,True
2017-01-06,DLF,True
2017-01-06,DRREDDY,True
2017-01-06,EICHERMOT,True
2017-01-06,GODREJCP,True
2017-01-06,GRASIM,True
2017-01-06,HAVELLS,True
2017-01-06,HCLTECH,True
2017-01-06,HDFCBANK,True
2017-01-06,HEROMOTOCO,True
2017-01-06,HINDALCO,True
2017-01-06,HINDUNILVR,True
2017-01-06,ICICIBANK,True
2017-01-06,ICICIPRULI,True
2017-01-06,INDUSINDBK,True
2017-01-06,INFY,True
2017-01-06,ITC,True
2017-01-06,JSWSTEEL,True
2017-01-06,KOTAKBANK,True
2017-01-06,LT,True
2017-01-06,M&M,True
2017-01-06,MARUTI,True
2017-01-06,MUTHOOTFIN,True
2017-01-06,NESTLEIND,True
2017-01-06,NMDC,True
2017-01-06,NTPC,True
2017-01-06,ONGC,True
2017-01-06,PEL,True
2017-01-06,PIDILITIND,True
2017-01-06,POWERGRID,True
2017-01-06,RELIANCE,True
2017-01-06,SBIN,True
2017-01-06,SIEMENS,True
2017-01-06,SUNPHARMA,True
2017-01-06,TATASTEEL,True
2017-01-06,TCS,True
2017-01-06,TECHM,True
2017-01-06,TITAN,True
2017-01-06,ULTRACEMCO,True
2017-01-06,UPL,True
2017-01-06,VOLTAS,True
2017-01-06,WIPRO,True
2017-01-09,ADANIPORTS,True
2017-01-09,APOLLOHOSP,True
2017-01-09,ASIANPAINT,True
2017-01-09,AXISBANK,True
2017-01-09,BAJAJ-AUTO,True
2017-01-09,BAJAJFINSV,True
2017-01-09,BAJFINANCE,True
2017-01-09,BHARTIARTL,True
2017-01-09,BRITANNIA,True
2017-01-09,COALINDIA,True
2017-01-09,DIVISLAB,True
2017-01-09,DLF,True
2017-01-09,DRREDDY,True
2017-01-09,EICHERMOT,True
2017-01-09,GODREJCP,True
2017-01-09,GRASIM,True
2017-01-09,HAVELLS,True
2017-01-09,HCLTECH,True
2017-01-09,HDFCBANK,True
2017-01-09,HEROMOTOCO,True
2017-01-09,HINDALCO,True
2017-01-09,HINDUNILVR,True
2017-01-09,ICICIBANK,True
2017-01-09,ICICIPRULI,True
2017-01-09,INDUSINDBK,True
2017-01-09,INFY,True
2017-01-09,ITC,True
2017-01-09,JSWSTEEL,True
2017-01-09,KOTAKBANK,True
2017-01-09,LT,True
2017-01-09,M&M,True
2017-01-09,MARUTI,True
2017-01-09,MUTHOOTFIN,True
2017-01-09,NESTLEIND,True
2017-01-09,NMDC,True
2017-01-09,NTPC,True
2017-01-09,ONGC,True
2017-01-09,PEL,True
2017-01-09,PIDILITIND,True
2017-01-09,POWERGRID,True
2017-01-09,RELIANCE,True
2017-01-09,SBIN,True
2017-01-09,SIEMENS,True
2017-01-09,SUNPHARMA,True
2017-01-09,TATASTEEL,True
2017-01-09,TCS,True
2017-01-09,TECHM,True
2017-01-09,TITAN,True
2017-01-09,ULTRACEMCO,True
2017-01-09,UPL,True
2017-01-09,VOLTAS,True
2017-01-09,WIPRO,True
2017-01-10,ADANIPORTS,True
2017-01-10,APOLLOHOSP,True
2017-01-10,ASIANPAINT,True
2017-01-10,AXISBANK,True
2017-01-10,BAJAJ-AUTO,True
2017-01-10,BAJAJFINSV,True
2017-01-10,BAJFINANCE,True
2017-01-10,BHARTIARTL,True
2017-01-10,BRITANNIA,True
2017-01-10,COALINDIA,True
2017-01-10,DIVISLAB,True
2017-01-10,DLF,True
2017-01-10,DRREDDY,True
2017-01-10,EICHERMOT,True
2017-01-10,GODREJCP,True
2017-01-10,GRASIM,True
2017-01-10,HAVELLS,True
2017-01-10,HCLTECH,True
2017-01-10,HDFCBANK,True
2017-01-10,HEROMOTOCO,True
2017-01-10,HINDALCO,True
2017-01-10,HINDUNILVR,True
2017-01-10,ICICIBANK,True
2017-01-10,ICICIPRULI,True
2017-01-10,INDUSINDBK,True
2017-01-10,INFY,True
2017-01-10,ITC,True
2017-01-10,JSWSTEEL,True
2017-01-10,KOTAKBANK,True
2017-01-10,LT,True
2017-01-10,M&M,True
2017-01-10,MARUTI,True
