fold_idx,train_start,train_end,valid_start,valid_end,test_start,test_end,train_samples,valid_samples,test_samples,train_roc_auc,train_ic,train_rank_ic,valid_roc_auc,valid_ic,valid_rank_ic,test_roc_auc,test_ic,test_rank_ic
19,2010-01-01T00:00:00,2015-06-11T00:00:00,2015-07-06T00:00:00,2016-01-02T00:00:00,2016-01-27T00:00:00,2016-07-25T00:00:00,465002,44318,45055,,,,0.5571591304044361,0.08647800943887754,0.07541877378975693,0.5534854482503161,0.09724009523671845,0.0818511340536587
20,2010-01-01T00:00:00,2015-09-09T00:00:00,2015-10-04T00:00:00,2016-04-01T00:00:00,2016-04-26T00:00:00,2016-10-23T00:00:00,488128,44073,46359,,,,0.5555151779843646,0.08872831494232121,0.07592351368535097,0.5380246147699156,0.06190432198141784,0.05223008978248362
21,2010-01-01T00:00:00,2015-12-08T00:00:00,2016-01-02T00:00:00,2016-06-30T00:00:00,2016-07-25T00:00:00,2017-01-21T00:00:00,508860,44947,47111,,,,0.5565597341401254,0.10676541764704324,0.08883956719644312,0.5474238198750829,0.0683024649621078,0.06557518682472832
22,2010-01-01T00:00:00,2016-03-07T00:00:00,2016-04-01T00:00:00,2016-09-28T00:00:00,2016-10-23T00:00:00,2017-04-21T00:00:00,531346,45452,47301,,,,0.5438889561251268,0.08065107018017484,0.06837822296850254,0.5225541126826977,0.0235067186723266,0.027239717009341042
23,2010-01-01T00:00:00,2016-06-05T00:00:00,2016-06-30T00:00:00,2016-12-27T00:00:00,2017-01-21T00:00:00,2017-07-20T00:00:00,553311,45749,47325,,,,0.5484219931555638,0.06561645446945491,0.06982661216067207,0.5386995112191404,0.051269454032085285,0.06622282449941054
24,2010-01-01T00:00:00,2016-09-03T00:00:00,2016-09-28T00:00:00,2017-03-27T00:00:00,2017-04-21T00:00:00,2017-10-18T00:00:00,577029,46768,48669,,,,0.5258017495672483,0.024961927799103403,0.029103776103749188,0.5588504821509572,0.10639705993167055,0.10635337311104578
25,2010-01-08T00:00:00,2016-12-02T00:00:00,2016-12-27T00:00:00,2017-06-25T00:00:00,2017-07-20T00:00:00,2018-01-16T00:00:00,598344,47981,49727,,,,0.5372593838581088,0.05060720663190259,0.06216825067329317,0.5570321745611431,0.09060905996325612,0.09131223653809233
26,2010-04-08T00:00:00,2017-03-02T00:00:00,2017-03-27T00:00:00,2017-09-23T00:00:00,2017-10-18T00:00:00,2018-04-16T00:00:00,603460,48889,49851,,,,0.559960803722943,0.10264878167046691,0.10467713576066243,0.5476230526157506,0.06268538822944583,0.07942536775599775
27,2010-07-07T00:00:00,2017-05-31T00:00:00,2017-06-25T00:00:00,2017-12-22T00:00:00,2018-01-16T00:00:00,2018-07-15T00:00:00,606580,49867,51433,,,,0.5533646964291321,0.09109461281112526,0.08516542299255336,0.5349043045449066,0.06712640208484853,0.0649842415269721
28,2010-10-05T00:00:00,2017-08-29T00:00:00,2017-09-23T00:00:00,2018-03-22T00:00:00,2018-04-16T00:00:00,2018-10-13T00:00:00,610164,50004,52636,,,,0.5474534842442287,0.0711168575345781,0.07969914270873225,0.53195822221221,0.05102717243312586,0.05113881647723091
29,2011-01-03T00:00:00,2017-11-27T00:00:00,2017-12-22T00:00:00,2018-06-20T00:00:00,2018-07-15T00:00:00,2019-01-11T00:00:00,614855,50376,51568,,,,0.5344643075286135,0.061745292229144426,0.05690296480371004,0.5434691787882466,0.0805653037693837,0.0633797904089776
30,2011-04-03T00:00:00,2018-02-25T00:00:00,2018-03-22T00:00:00,2018-09-18T00:00:00,2018-10-13T00:00:00,2019-04-11T00:00:00,618724,51619,51935,,,,0.524558818425712,0.04821910970909616,0.039100858654980794,0.546099111253986,0.1104628966379647,0.07039236327815376
31,2011-07-02T00:00:00,2018-05-26T00:00:00,2018-06-20T00:00:00,2018-12-17T00:00:00,2019-01-11T00:00:00,2019-07-10T00:00:00,623264,51411,51857,,,,0.5510597354954376,0.08119862733581354,0.07446161486184406,0.5490479027529315,0.09859768447505084,0.08769393146282971
32,2011-09-30T00:00:00,2018-08-24T00:00:00,2018-09-18T00:00:00,2019-03-17T00:00:00,2019-04-11T00:00:00,2019-10-08T00:00:00,629129,52282,51873,,,,0.5553114974413585,0.1089353934671789,0.08171580132157608,0.5323112455481163,0.023144465284537792,0.04055141538021062
33,2011-12-29T00:00:00,2018-11-22T00:00:00,2018-12-17T00:00:00,2019-06-15T00:00:00,2019-07-10T00:00:00,2020-01-06T00:00:00,634486,52197,52772,,,,0.5460188922968107,0.07737109088405406,0.07486812944909713,0.532785003842639,0.05418900278407871,0.05056448123149119
34,2012-03-28T00:00:00,2019-02-20T00:00:00,2019-03-17T00:00:00,2019-09-13T00:00:00,2019-10-08T00:00:00,2020-04-05T00:00:00,639692,51729,54576,,,,0.5366943161908571,0.04593535242255252,0.05829258499737993,0.5352261524335841,0.03888060386962095,0.02757676868718489
35,2012-06-26T00:00:00,2019-05-21T00:00:00,2019-06-15T00:00:00,2019-12-12T00:00:00,2020-01-06T00:00:00,2020-07-04T00:00:00,643118,53065,54901,,,,0.5427978897151838,0.06273050853150068,0.06533206181624095,0.5448560073674436,0.06865259779182291,0.06350111118038558
36,2012-09-24T00:00:00,2019-08-19T00:00:00,2019-09-13T00:00:00,2020-03-11T00:00:00,2020-04-05T00:00:00,2020-10-02T00:00:00,648462,54013,56025,,,,0.5520202997562235,0.059862535673277636,0.0898406964494379,0.5593604962450146,0.1042540808973169,0.09772069737978471
37,2012-12-23T00:00:00,2019-11-17T00:00:00,2019-12-12T00:00:00,2020-06-09T00:00:00,2020-07-04T00:00:00,2020-12-31T00:00:00,653491,53489,57028,,,,0.5512404393158606,0.08026138167108372,0.07986513853338352,0.5561645803940609,0.08541706215537234,0.09163730932002885
38,2013-03-23T00:00:00,2020-02-15T00:00:00,2020-03-11T00:00:00,2020-09-07T00:00:00,2020-10-02T00:00:00,2021-03-31T00:00:00,659571,55049,56184,,,,0.5764172241094372,0.09811740696329829,0.09475120379452685,0.5375889681755198,0.048511203858219026,0.040137740315329656
39,2013-06-21T00:00:00,2020-05-15T00:00:00,2020-06-09T00:00:00,2020-12-06T00:00:00,2020-12-31T00:00:00,2021-06-29T00:00:00,664844,57760,55781,,,,0.5410675136944423,0.06767473230687161,0.06127145196659526,0.5345271722653314,0.02476817490611059,0.041550161879382194
40,2013-09-19T00:00:00,2020-08-13T00:00:00,2020-09-07T00:00:00,2021-03-06T00:00:00,2021-03-31T00:00:00,2021-09-27T00:00:00,671636,57896,55781,,,,0.5358876708064809,0.05394712100466271,0.038590439257032094,0.5448922386531038,0.04797947094744753,0.0683997109182393
41,2013-12-18T00:00:00,2020-11-11T00:00:00,2020-12-06T00:00:00,2021-06-04T00:00:00,2021-06-29T00:00:00,2021-12-26T00:00:00,679062,55781,56703,,,,0.5308038992026368,0.026975955224792257,0.03038952620252341,0.5551737322564473,0.0726235510940605,0.08397846480531475
42,2014-03-18T00:00:00,2021-02-09T00:00:00,2021-03-06T00:00:00,2021-09-02T00:00:00,2021-09-27T00:00:00,2022-03-26T00:00:00,685522,55320,57164,,,,0.5567490445823348,0.07030705196109881,0.088702332444586,0.5434133166411215,0.049965621954040085,0.059760020375552704
43,2014-06-16T00:00:00,2021-05-10T00:00:00,2021-06-04T00:00:00,2021-12-01T00:00:00,2021-12-26T00:00:00,2022-06-24T00:00:00,691421,56242,56731,,,,0.5490339906081458,0.05707533660102526,0.06535133113600794,0.5287700148668858,0.03680486245656509,0.03610069375040203
44,2014-09-14T00:00:00,2021-08-08T00:00:00,2021-09-02T00:00:00,2022-03-01T00:00:00,2022-03-26T00:00:00,2022-09-22T00:00:00,697848,56703,56331,,,,0.5223250227142998,0.00984783612361918,0.012696626247709479,0.5282755972288015,0.023032802270094733,0.0301525341634562
45,2014-12-13T00:00:00,2021-11-06T00:00:00,2021-12-01T00:00:00,2022-05-30T00:00:00,2022-06-24T00:00:00,2022-12-21T00:00:00,705153,56251,56364,,,,0.5444033572358071,0.05699267726108444,0.06435707826619962,0.5522946695939224,0.07219580004569759,0.0773298060280781
46,2015-03-13T00:00:00,2022-02-04T00:00:00,2022-03-01T00:00:00,2022-08-28T00:00:00,2022-09-22T00:00:00,2023-03-21T00:00:00,712599,56314,56826,,,,0.5316534248680517,0.03238453540342422,0.03972248651386619,0.5575029419974573,0.06735068209428105,0.08771126874823805
47,2015-06-11T00:00:00,2022-05-05T00:00:00,2022-05-30T00:00:00,2022-11-26T00:00:00,2022-12-21T00:00:00,2023-06-19T00:00:00,718186,57288,55902,,,,0.527830770136706,0.026055451871730737,0.03806737526749525,0.5338186530939268,0.026895617128759947,0.05300014039805032
48,2015-09-09T00:00:00,2022-08-03T00:00:00,2022-08-28T00:00:00,2023-02-24T00:00:00,2023-03-21T00:00:00,2023-09-17T00:00:00,724622,57288,56387,,,,0.551150781115723,0.04684898385444597,0.07357629087310483,0.49853908889901627,-0.03508181044301129,-0.015334821739060216
49,2015-12-08T00:00:00,2022-11-01T00:00:00,2022-11-26T00:00:00,2023-05-25T00:00:00,2023-06-19T00:00:00,2023-12-16T00:00:00,731152,55902,56909,,,,0.5390150872033262,0.04004065392290661,0.05201843205549728,0.557340751460583,0.08611270377491194,0.08810233615941308
50,2016-03-07T00:00:00,2023-01-30T00:00:00,2023-02-24T00:00:00,2023-08-23T00:00:00,2023-09-17T00:00:00,2024-03-15T00:00:00,736944,55445,55559,,,,0.5458588430309818,0.04839200818726077,0.07131987168599013,0.5807712772342417,0.12408671684673449,0.12006701732934429
51,2016-06-05T00:00:00,2023-04-30T00:00:00,2023-05-25T00:00:00,2023-11-21T00:00:00,2023-12-16T00:00:00,2024-06-13T00:00:00,742237,56429,54633,,,,0.5575335999293564,0.09029418791526349,0.08396657210538103,0.5588629633874216,0.08175307731528748,0.07739882129913553
52,2016-09-03T00:00:00,2023-07-29T00:00:00,2023-08-23T00:00:00,2024-02-19T00:00:00,2024-03-15T00:00:00,2024-09-11T00:00:00,747625,55559,55096,,,,0.58370024929149,0.1370103669895925,0.12536594549927094,0.5181420863447926,0.004119161524710866,-0.0025130494754609686
53,2016-12-02T00:00:00,2023-10-27T00:00:00,2023-11-21T00:00:00,2024-05-19T00:00:00,2024-06-13T00:00:00,2024-12-10T00:00:00,753664,55096,56483,,,,0.5659564279387183,0.09642810523658324,0.08930556205783288,0.5104488459391362,0.007888452968607828,-0.016549084736416624
54,2017-03-02T00:00:00,2024-01-25T00:00:00,2024-02-19T00:00:00,2024-08-17T00:00:00,2024-09-11T00:00:00,2025-03-10T00:00:00,757395,55560,57410,,,,0.5056682155049501,-0.017287885376916667,-0.028619781499944544,0.5120413319998132,0.0067440399222996935,-0.0017173403846623676
55,2017-05-31T00:00:00,2024-04-24T00:00:00,2024-05-19T00:00:00,2024-11-15T00:00:00,2024-12-10T00:00:00,2025-06-08T00:00:00,760807,57409,56486,,,,0.49934154619682314,-0.027525121357331175,-0.045724714148038345,0.5032935124525542,-0.013965046015404624,-0.017935430728500103
56,2017-08-29T00:00:00,2024-07-23T00:00:00,2024-08-17T00:00:00,2025-02-13T00:00:00,2025-03-10T00:00:00,2025-09-06T00:00:00,764493,57872,56486,,,,0.5098417624916658,0.0015989003098360857,-0.011086387783356447,0.5101540840872606,0.002349265868700794,-0.00890295530193356
57,2017-11-27T00:00:00,2024-10-21T00:00:00,2024-11-15T00:00:00,2025-05-14T00:00:00,2025-06-08T00:00:00,2025-12-05T00:00:00,768173,55097,53645,,,,0.5076976650323357,0.010695927587214578,-0.0015520820157737137,0.5348826778054909,0.020813851430195873,0.007451472597579168
58,2018-02-25T00:00:00,2025-01-19T00:00:00,2025-02-13T00:00:00,2025-08-12T00:00:00,2025-09-06T00:00:00,2026-03-05T00:00:00,770903,56023,24476,,,,0.5246994105328981,0.02691073080228197,0.02508553561168844,0.5276532864625941,0.03242116146336679,0.03303967412860599
