fold_idx,train_start,train_end,valid_start,valid_end,test_start,test_end,train_samples,valid_samples,test_samples,train_roc_auc,train_ic,train_rank_ic,valid_roc_auc,valid_ic,valid_rank_ic,test_roc_auc,test_ic,test_rank_ic
19,2013-07-22T00:00:00,2020-06-15T00:00:00,2020-07-05T00:00:00,2021-01-01T00:00:00,2021-01-21T00:00:00,2021-07-20T00:00:00,540684,57489,55781,,,,0.5259117453737903,0.04568397714570225,0.04017838238420891,0.5276197186665711,0.022180605836536308,0.05012840612004646
20,2013-10-20T00:00:00,2020-09-13T00:00:00,2020-10-03T00:00:00,2021-04-01T00:00:00,2021-04-21T00:00:00,2021-10-18T00:00:00,569601,56645,56242,,,,0.51172004853454,0.009401088033054167,0.012980729678537561,0.5249692083383205,0.01209770387021451,0.03347570573981624
21,2014-01-18T00:00:00,2020-12-12T00:00:00,2021-01-01T00:00:00,2021-06-30T00:00:00,2021-07-20T00:00:00,2022-01-16T00:00:00,598494,55781,56703,,,,0.5296478308037759,0.02095191299963189,0.048874473338797464,0.5383513634182696,0.03757313311746229,0.04854780587179972
22,2014-04-18T00:00:00,2021-03-12T00:00:00,2021-04-01T00:00:00,2021-09-28T00:00:00,2021-10-18T00:00:00,2022-04-16T00:00:00,627076,55781,56703,,,,0.5302033161248645,0.02479945661042572,0.04319597343743275,0.5490510787577716,0.051131952538772917,0.06742911673644018
23,2014-07-17T00:00:00,2021-06-10T00:00:00,2021-06-30T00:00:00,2021-12-27T00:00:00,2022-01-16T00:00:00,2022-07-15T00:00:00,654275,56242,56746,,,,0.5495548167338936,0.06474800388816528,0.07513801883358608,0.5324751209263481,0.04101124210866645,0.04283201048433674
24,2014-10-15T00:00:00,2021-09-08T00:00:00,2021-09-28T00:00:00,2022-03-27T00:00:00,2022-04-16T00:00:00,2022-10-13T00:00:00,682857,56703,56806,,,,0.5516985841413472,0.048602761317857374,0.06514795775138035,0.5313192740662664,0.0344630655404887,0.04330399076183316
25,2015-01-13T00:00:00,2021-12-07T00:00:00,2021-12-27T00:00:00,2022-06-25T00:00:00,2022-07-15T00:00:00,2023-01-11T00:00:00,707637,57193,56364,,,,0.5312410789269116,0.03366351350045171,0.0360827833123372,0.5488549761050738,0.06875678162556947,0.07514087732351328
26,2015-04-13T00:00:00,2022-03-07T00:00:00,2022-03-27T00:00:00,2022-09-23T00:00:00,2022-10-13T00:00:00,2023-04-11T00:00:00,714979,56793,55902,,,,0.5278579534631389,0.036545747058248285,0.04042604051743192,0.5411380511674387,0.041683839505069355,0.05433372978257111
27,2015-07-12T00:00:00,2022-06-05T00:00:00,2022-06-25T00:00:00,2022-12-22T00:00:00,2023-01-11T00:00:00,2023-07-10T00:00:00,719939,56364,55440,,,,0.5360970285174458,0.047647145543838434,0.0575003843884574,0.520413884970269,0.020204428932293825,0.025531112401149594
28,2015-10-10T00:00:00,2022-09-03T00:00:00,2022-09-23T00:00:00,2023-03-22T00:00:00,2023-04-11T00:00:00,2023-10-08T00:00:00,726144,56826,56862,,,,0.5450138528022638,0.03332251857135288,0.05968529641469122,0.5270129343357942,0.02738779302972992,0.04017231099233667
29,2016-01-08T00:00:00,2022-12-02T00:00:00,2022-12-22T00:00:00,2023-06-20T00:00:00,2023-07-10T00:00:00,2024-01-06T00:00:00,733240,55902,56923,,,,0.5296387565464187,0.030119285344399165,0.033349360879275515,0.5418103934752321,0.052571457977317174,0.060358765786806795
30,2016-04-07T00:00:00,2023-03-02T00:00:00,2023-03-22T00:00:00,2023-09-18T00:00:00,2023-10-08T00:00:00,2024-04-05T00:00:00,740149,55925,55559,,,,0.5316302858907546,0.033128509480279206,0.05028788030237228,0.5482434958556358,0.06190825427753016,0.08131807411525449
31,2016-07-06T00:00:00,2023-05-31T00:00:00,2023-06-20T00:00:00,2023-12-17T00:00:00,2024-01-06T00:00:00,2024-07-04T00:00:00,744170,56447,54633,,,,0.5361562208750411,0.039080185950019546,0.05190694301810193,0.5438882120468049,0.056346240527769015,0.07031848057805917
32,2016-10-04T00:00:00,2023-08-29T00:00:00,2023-09-18T00:00:00,2024-03-16T00:00:00,2024-04-05T00:00:00,2024-10-02T00:00:00,750107,56022,56022,,,,0.5480937734838096,0.06188213088599532,0.07764530386122799,0.514072483007109,0.009731910842656628,0.003785635348532685
33,2017-01-02T00:00:00,2023-11-27T00:00:00,2023-12-17T00:00:00,2024-06-14T00:00:00,2024-07-04T00:00:00,2024-12-31T00:00:00,754339,55096,56483,,,,0.5465065244283325,0.06297633562273793,0.0742568250228925,0.5279111417000818,0.02752283483436147,0.028408976846387504
34,2017-04-02T00:00:00,2024-02-25T00:00:00,2024-03-16T00:00:00,2024-09-12T00:00:00,2024-10-02T00:00:00,2025-03-31T00:00:00,758470,55096,56947,,,,0.5128314190976001,0.010790594011185178,0.0031883361856020706,0.5250928862165168,0.02161896116377558,0.028017775383541714
35,2017-07-01T00:00:00,2024-05-25T00:00:00,2024-06-14T00:00:00,2024-12-11T00:00:00,2024-12-31T00:00:00,2025-06-29T00:00:00,761432,56483,56949,,,,0.5208698663917696,0.008052989165453078,0.011675715997636683,0.5147051097015146,-0.0065393938681115715,-0.002034733634251232
36,2017-09-29T00:00:00,2024-08-23T00:00:00,2024-09-12T00:00:00,2025-03-11T00:00:00,2025-03-31T00:00:00,2025-09-27T00:00:00,765494,57410,56949,,,,0.5293938943886248,0.017691759885984128,0.02699466267689713,0.5188641556468334,0.0123306381078155,0.016081244114616696
37,2017-12-28T00:00:00,2024-11-21T00:00:00,2024-12-11T00:00:00,2025-06-09T00:00:00,2025-06-29T00:00:00,2025-12-26T00:00:00,768852,56023,42069,,,,0.5177093751615839,0.00444715439065027,0.010087321385177803,0.5392544331816167,0.03646162914876207,0.04482148845952535
