date_in,date_out,ticker,entry_px,exit_px,gross_ret,net_ret
2023-01-30,2023-02-13,TCS,3218.7669778564455,3257.2921833251953,0.01196893274156996,0.01196893274156996
2023-01-30,2023-02-13,RELIANCE,1078.402957397461,1059.4347788452149,-0.01758913810661511,-0.01758913810661511
2023-01-31,2023-02-14,TCS,3148.507893017578,3273.8484143066407,0.039809498831820944,0.039809498831820944
2023-01-31,2023-02-14,RELIANCE,1075.7063909179687,1084.4005723632813,0.008082299704376794,0.008082299704376794
2023-02-01,2023-02-15,RELIANCE,1069.33134407959,1108.9556853149413,0.037055250886204316,0.037055250886204316
2023-02-01,2023-02-15,TCS,3195.0504886962894,3293.069679272461,0.030678448094310973,0.030678448094310973
2023-02-02,2023-02-16,RELIANCE,1063.413220202637,1108.089207849121,0.04201187910563209,0.04201187910563209
2023-02-02,2023-02-16,TCS,3243.8431152832036,3328.052883886719,0.025959877099717144,0.025959877099717144
2023-02-03,2023-02-17,RELIANCE,1064.3501627929688,1112.717533935547,0.045443100244055845,0.045443100244055845
2023-02-03,2023-02-17,TCS,3264.372753149414,3274.830487133789,0.003203596762742622,0.003203596762742622
2023-02-06,2023-02-20,RELIANCE,1056.3298755615235,1100.9531452636718,0.04224368801310985,0.04224368801310985
2023-02-06,2023-02-20,TCS,3243.421753857422,3261.8755150146485,0.00568959653035539,0.00568959653035539
2023-02-07,2023-02-21,RELIANCE,1053.7935192993166,1109.936294909668,0.053276827558857764,0.053276827558857764
2023-02-07,2023-02-21,TCS,3255.2328274658207,3227.92193828125,-0.008389842027315852,-0.008389842027315852
2023-02-08,2023-02-22,RELIANCE,1074.8383717163088,1084.7651611083984,0.009235611281944056,0.009235611281944056
2023-02-08,2023-02-22,TCS,3299.807196020508,3181.668917553711,-0.03580157004605278,-0.03580157004605278
2023-02-09,2023-02-23,RELIANCE,1076.7118902832033,1079.5669059936524,0.0026516060017673926,0.0026516060017673926
2023-02-09,2023-02-23,TCS,3319.258500585938,3193.1270029052735,-0.03799990198365044,-0.03799990198365044
2023-02-10,2023-02-24,RELIANCE,1067.846191699219,1086.9540348754883,0.017893815911694144,0.017893815911694144
2023-02-10,2023-02-24,TCS,3316.165258007813,3180.6400212890626,-0.04086805878913502,-0.04086805878913502
2023-02-13,2023-02-27,RELIANCE,1061.7681020141604,1079.7265202636718,0.016913691620085824,0.016913691620085824
2023-02-13,2023-02-27,TCS,3264.466117456055,3116.47410925293,-0.045334214808286366,-0.045334214808286366
2023-02-14,2023-02-28,RELIANCE,1086.788880761719,1059.0699462280274,-0.025505353453987856,-0.025505353453987856
2023-02-14,2023-02-28,TCS,3281.0588122558597,3098.702663745117,-0.05557844554007407,-0.05557844554007407
2023-02-15,2023-03-01,RELIANCE,1111.3980744506837,1068.8054412109375,-0.03832347222735466,-0.03832347222735466
2023-02-15,2023-03-01,TCS,3300.3224105712893,3166.8434466552735,-0.04044421947639665,-0.04044421947639665
2023-02-16,2023-03-02,RELIANCE,1110.529688635254,1060.6658450561524,-0.044900955003175036,-0.044900955003175036
2023-02-16,2023-03-02,TCS,3335.3826629882815,3106.7465401123045,-0.06854869320185719,-0.06854869320185719
2023-02-17,2023-03-03,TCS,3282.0430480224613,3126.108275390625,-0.047511495233370615,-0.047511495233370615
2023-02-17,2023-03-03,RELIANCE,1115.1682082519533,1087.7293041870116,-0.024605170647711172,-0.024605170647711172
2023-02-20,2023-03-06,RELIANCE,1103.3779094238282,1098.3538348022462,-0.00455335799155665,-0.00455335799155665
2023-02-20,2023-03-06,TCS,3269.059543579102,3153.8889622802735,-0.03523049359105124,-0.03523049359105124
2023-02-21,2023-03-08,RELIANCE,1112.3808437622072,1102.2982216674804,-0.009064001911994524,-0.009064001911994524
2023-02-21,2023-03-08,TCS,3235.03118671875,3171.2394845947265,-0.01971903775948658,-0.01971903775948658
2023-02-22,2023-03-09,RELIANCE,1087.1542724853516,1075.8049354370116,-0.010439490820740804,-0.010439490820740804
2023-02-22,2023-03-09,TCS,3188.676297290039,3121.1508439453123,-0.021176641041335764,-0.021176641041335764
2023-02-23,2023-03-10,RELIANCE,1081.9445686157228,1059.13835234375,-0.021078913775732344,-0.021078913775732344
2023-02-23,2023-03-10,TCS,3200.159618188477,3115.6788424316405,-0.026398925627546865,-0.026398925627546865
2023-02-24,2023-03-13,TCS,3187.645134960938,3069.7996775878905,-0.03696944056932849,-0.03696944056932849
2023-02-24,2023-03-13,RELIANCE,1089.347967077637,1041.7194239135742,-0.043722065495595874,-0.043722065495595874
2023-02-27,2023-03-14,TCS,3123.3379024658207,3007.131140063477,-0.03720595274389005,-0.03720595274389005
2023-02-27,2023-03-14,RELIANCE,1082.1045344238282,1037.8206411254882,-0.04092385891527495,-0.04092385891527495
2023-02-28,2023-03-15,RELIANCE,1061.4024658813478,1020.0824841552734,-0.038929607810703426,-0.038929607810703426
2023-02-28,2023-03-15,TCS,3105.5273167236332,2992.118131542969,-0.036518495448403354,-0.036518495448403354
2023-03-01,2023-03-16,TCS,3173.818174438477,2979.1168237304687,-0.061346094831804754,-0.061346094831804754
2023-03-01,2023-03-16,RELIANCE,1071.1594025390625,1014.9980563293457,-0.05243042825987687,-0.05243042825987687
2023-03-02,2023-03-17,RELIANCE,1063.0018795532228,1013.7213860412597,-0.046359742593000464,-0.046359742593000464
2023-03-02,2023-03-17,TCS,3113.5889091064455,2973.785292529297,-0.04490111593353219,-0.04490111593353219
2023-03-03,2023-03-20,TCS,3132.993287109375,2940.112168676758,-0.06156448506488088,-0.06156448506488088
2023-03-03,2023-03-20,RELIANCE,1090.1249438598634,1003.7578706726074,-0.0792267654031028,-0.0792267654031028
2023-03-06,2023-03-21,TCS,3160.835158813477,2905.316989428711,-0.0808388152328332,-0.0808388152328332
2023-03-06,2023-03-21,RELIANCE,1100.772874182129,1034.970508239746,-0.05977833164836466,-0.05977833164836466
