horizon,mean_auc,std_auc,mean_ic,std_ic,min_ic,max_ic,n_folds,total_test_samples
5,0.5179165429614672,0.029938131695857254,0.03059041438544765,0.051185843269170986,-0.032767996202663935,0.07856308503810902,5,14976
10,0.5226412944959378,0.0323746664485308,0.038158027403282065,0.054448021189737614,-0.01874925463473859,0.10785317369604376,5,15017
15,0.5255793000430596,0.04483418158933479,0.043014092885311384,0.0750187688237089,-0.044785825257807436,0.12495942049182941,5,14966
30,0.5028918287810032,0.05444661388189363,0.005224424066644541,0.09046321745847152,-0.07080021736105922,0.15599145002720233,5,14918
90,0.48296219635102783,0.08218628614500538,-0.02428536162133987,0.12361582671450574,-0.14300731726849158,0.17545426811400533,5,15024
